celltype,pvalue
?,9.12020887772923e-06
B.cell,4.187304271279158e-07
CAF,0.00016016177770482225
Endo.,0.012115519754257866
Macrophage,1.285984010171003e-08
Mal,0.11191691307898916
NK,2.2633180906641464e-06
T.CD4,0.002038113550211819
T.CD8,0.00024880025751221156
T.cell,0.00018808494192682835
