celltype,pvalue
?,4.841790448058303e-06
B.cell,1.7523868110606723e-08
CAF,0.044209580892815
Endo.,0.2306614495829986
Macrophage,0.07480442093176426
Mal,0.06639987129479993
NK,7.740419653842453e-09
T.CD4,4.282332956881724e-09
T.CD8,3.4404097934158872e-09
T.cell,1.5683559752779016e-09
