scPagwas.TRS.Score,scPagwas.gPAS.score,Random_Correct_BG_p,Random_Correct_BG_adjp,Random_Correct_BG_z
-0.20549786,-5030.158215218646,1.0,1.0,-10.0
-0.17220843,1126.9971311593265,1.0,1.0,-10.0
-0.2408323,341936.68159223505,1.0,1.0,-10.0
-0.120139815,960392.3133791129,0.9882925295122049,1.0,-2.266595602532965
-0.101275064,-290363.2483247166,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.14542407,18727.016298789702,1.0,1.0,-10.0
-0.15292649,-127990.63265840987,1.0,1.0,-10.0
-0.16327195,209328.93363011774,1.0,1.0,-10.0
-0.16908501,-106302.38821491154,1.0,1.0,-10.0
-0.26597703,-312773.9192963467,1.0,1.0,-10.0
-0.27542093,20813.92611157493,1.0,1.0,-10.0
-0.22064391,-28623.8838665105,1.0,1.0,-10.0
-0.3663507,17792.23162643335,1.0,1.0,-10.0
-0.34170943,8912.441184959507,1.0,1.0,-10.0
-0.13774192,-273545.4718419225,1.0,1.0,-10.0
-0.25264552,1260810.3714548058,1.0,1.0,-10.0
-0.10802389,-916.3884093999078,5.5663713242814855e-06,9.928008025884028e-06,4.3939148685318505
-0.1605549,108813.15736819532,1.0,1.0,-10.0
-0.10254787,-7727.180945363272,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.10113433,-592847.5470162447,0.6189888408170876,0.9661281081910494,-0.3028261964149892
-0.1658209,-31502.873546744533,1.0,1.0,-10.0
-0.19800802,2636.570353046422,1.0,1.0,-10.0
-0.13332154,3993.2266868287265,1.0,1.0,-10.0
-0.32385185,1185320.1623030244,1.0,1.0,-10.0
-0.22075891,20719.208338752625,1.0,1.0,-10.0
-0.19418178,-196552.20928017623,1.0,1.0,-10.0
-0.25636512,-105736.44045058178,1.0,1.0,-10.0
-0.12376578,4030.756399401165,0.2488891610225981,0.3954272631236767,0.6779895452335867
-0.14656219,-33797.42793569029,1.0,1.0,-10.0
-0.18118219,26949.870681434346,1.0,1.0,-10.0
-0.18692759,-5352.117730619831,1.0,1.0,-10.0
-0.21815698,434496.11327520234,1.0,1.0,-10.0
-0.11851989,8110.021960210543,0.4474165774887594,0.7033768378547856,0.1321910817156292
-0.16541448,38604.73920542353,1.0,1.0,-10.0
-0.32687852,21054.614742747734,1.0,1.0,-10.0
-0.11489556,67563.75161067073,0.014112142899884637,0.023414883139822443,2.194154757878512
-0.14532855,-2719.112719379233,0.9999332035441086,1.0,-3.819739088269152
-0.11260302,-245364.59433749976,0.015180886194146682,0.02517070793519568,2.1653384954185335
-0.1933083,1824.7178617714105,1.0,1.0,-10.0
-0.18759936,3508.3658533073444,1.0,1.0,-10.0
-0.16906306,-120481.69003241602,1.0,1.0,-10.0
-0.14745082,-54999.189700170806,1.0,1.0,-10.0
-0.16114058,664605.28807367,1.0,1.0,-10.0
-0.13528068,-2154.129223709599,1.0,1.0,-10.0
-0.20053703,456187.67282474064,1.0,1.0,-10.0
-0.13725151,-377084.8973585381,1.0,1.0,-10.0
-0.22702897,104224.62803034148,1.0,1.0,-10.0
-0.14124279,17371.185859393958,1.0,1.0,-10.0
-0.17148256,-18093.69102854863,1.0,1.0,-10.0
-0.12615624,6346.842299249673,0.9999846924788582,1.0,-4.168842517472562
-0.19643903,-2705.5624295113425,1.0,1.0,-10.0
-0.112546526,137526.9051256679,0.009707751589546912,0.016181837838664833,2.3374556738051973
-0.17573087,-2046.8305795707786,1.0,1.0,-10.0
-0.39407462,138973.8600397314,1.0,1.0,-10.0
-0.11194597,80707.03266703128,0.027527097791403016,0.04525502739167744,1.9184482690341593
-0.2249738,1495.151455834396,1.0,1.0,-10.0
-0.1729067,-237874.07862057825,1.0,1.0,-10.0
-0.16235393,57291.336917311666,1.0,1.0,-10.0
-0.1965231,-199583.308415387,1.0,1.0,-10.0
-0.31917197,144688.91408699023,1.0,1.0,-10.0
-0.14213309,-61726.763787081756,1.0,1.0,-10.0
-0.13910462,-303974.4205218021,0.9999972168143378,1.0,-4.542224510600091
-0.17418383,69749.333723119,1.0,1.0,-10.0
-0.13033646,-864051.6592401607,0.9985917080549568,1.0,-2.9870774154649777
-0.12484217,-8848.85958621215,0.9999512942509126,1.0,-3.896950552581836
-0.1627355,-60231.72765306944,1.0,1.0,-10.0
-0.14946322,6897.002912954717,1.0,1.0,-10.0
-0.25506404,1395.0107813320565,1.0,1.0,-10.0
-0.18511634,-35964.21112279512,1.0,1.0,-10.0
-0.16957626,-21615.603283123517,1.0,1.0,-10.0
-0.30749804,-10.827611643685914,1.0,1.0,-10.0
-0.17124204,-19187.201693537885,1.0,1.0,-10.0
-0.13338941,-2.163003827334065,0.9999833008860272,1.0,-4.148964715444286
-0.11618586,48.14965654417766,0.8128460717421768,1.0,-0.888433045360722
-0.18717253,4449.08724769129,1.0,1.0,-10.0
-0.16465119,59917.49709878704,1.0,1.0,-10.0
-0.15150546,-95476.99777266353,1.0,1.0,-10.0
-0.28045133,33070.72418776717,1.0,1.0,-10.0
-0.17070532,-59995.44380411501,1.0,1.0,-10.0
-0.17267825,-398678.5962764966,1.0,1.0,-10.0
-0.16666332,-5436.676279183025,1.0,1.0,-10.0
-0.19945846,19296.128887722414,1.0,1.0,-10.0
-0.23206392,354.66225844609926,1.0,1.0,-10.0
-0.2713511,-837.810695118959,1.0,1.0,-10.0
-0.13409667,-172333.12181829466,1.0,1.0,-10.0
-0.15057164,-370720.33649761695,1.0,1.0,-10.0
-0.12038371,22057.010927025214,0.6142476840416309,0.9589363149083553,-0.29040733624675896
-0.16733542,-6817.8211108078,1.0,1.0,-10.0
-0.28585932,134504.36002725473,1.0,1.0,-10.0
-0.259393,174903.26961022077,1.0,1.0,-10.0
-0.24396071,-296517.0913750915,1.0,1.0,-10.0
-0.3094523,85137.99048107635,1.0,1.0,-10.0
-0.13646565,293548.94421579794,1.0,1.0,-10.0
-0.20734568,-1.5763312296030738,1.0,1.0,-10.0
-0.1683688,460398.6550271309,1.0,1.0,-10.0
-0.3034362,-251131.58635064107,1.0,1.0,-10.0
-0.22807361,756088.3869022576,1.0,1.0,-10.0
-0.31980878,-13323.878245147565,1.0,1.0,-10.0
-0.2756894,-54388.49718294671,1.0,1.0,-10.0
-0.16075754,-36387.51644801643,1.0,1.0,-10.0
-0.14392206,1983.8870831775414,1.0,1.0,-10.0
-0.22748446,-44925.4240213618,1.0,1.0,-10.0
-0.33118102,-19108.261615732466,1.0,1.0,-10.0
-0.12855095,32432.629457499843,0.999881714609359,1.0,-3.6763759824985316
-0.14679071,-126283.86027698063,1.0,1.0,-10.0
-0.13726181,-2488.3046021956748,1.0,1.0,-10.0
-0.1348901,-98963.13676825719,1.0,1.0,-10.0
-0.28810206,-51968.034000542924,1.0,1.0,-10.0
-0.09101023,-10863.651211494443,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.16693029,-29960.58581078242,1.0,1.0,-10.0
-0.25885925,8421.099974056573,1.0,1.0,-10.0
-0.1704276,-85208.35457716486,1.0,1.0,-10.0
-0.17522025,-14185.704886853266,1.0,1.0,-10.0
-0.105130844,-12576.951740133205,0.0010089048025260193,0.0017212701592953406,3.087598393242214
-0.17913602,-458558.6013890216,1.0,1.0,-10.0
-0.26841033,-46421.16136042427,1.0,1.0,-10.0
-0.1986068,25602.098154427058,1.0,1.0,-10.0
-0.17304245,-164285.01087543974,1.0,1.0,-10.0
-0.19165015,-5226.724104764624,1.0,1.0,-10.0
-0.09389396,-1131938.0687530127,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.28169376,78263.09226432105,1.0,1.0,-10.0
-0.16036093,46838.97309184954,1.0,1.0,-10.0
-0.14803284,69.97840520010796,1.0,1.0,-10.0
-0.24080342,-68665.84683698956,1.0,1.0,-10.0
-0.16116795,27095.54506775432,1.0,1.0,-10.0
-0.13116336,-1596.4353292471762,0.9999986084071689,1.0,-4.686204214165689
-0.144327,82985.36844153683,1.0,1.0,-10.0
-0.3399674,63212.186082396205,1.0,1.0,-10.0
-0.2329359,-137597.7905670229,1.0,1.0,-10.0
-0.24061039,16947.250514985928,1.0,1.0,-10.0
-0.14178245,-2813.34211044889,1.0,1.0,-10.0
-0.17324501,4337.967539986665,1.0,1.0,-10.0
-0.115977,-51841.59723172673,0.10984120534204656,0.177335183461682,1.227373050469183
-0.31044182,21420.760184254334,1.0,1.0,-10.0
-0.38587964,122842.96351405993,1.0,1.0,-10.0
-0.24039136,33787.833364396116,1.0,1.0,-10.0
-0.16668257,-13673.601202051173,1.0,1.0,-10.0
-0.1115886,-5729.843440711736,0.018598638187255514,0.030794888021570998,2.0835922081301463
-0.21887383,33610.74831844655,1.0,1.0,-10.0
-0.2651856,1598.2099541052323,1.0,1.0,-10.0
-0.16346316,-90450.15658762166,1.0,1.0,-10.0
-0.26661038,-619083.111810355,1.0,1.0,-10.0
-0.18965994,-496780.15847635106,1.0,1.0,-10.0
-0.16801651,-2853.1279865532506,1.0,1.0,-10.0
-0.2922599,2451.870174535439,1.0,1.0,-10.0
-0.08065342,76771.77448063734,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.19098435,13903.308066655698,1.0,1.0,-10.0
-0.17378071,-94597.55803221898,1.0,1.0,-10.0
-0.12378316,-187.99741183688602,0.4273790323141771,0.6726118541852117,0.18305092067501583
-0.16462743,1333.7649852326826,1.0,1.0,-10.0
-0.1978965,12958.29914511976,1.0,1.0,-10.0
-0.14969608,16964.761087674604,1.0,1.0,-10.0
-0.1538448,28038.073550791596,1.0,1.0,-10.0
-0.23766467,-575.0581464833292,1.0,1.0,-10.0
-0.22681399,126901.23878953142,1.0,1.0,-10.0
-0.21620943,-196245.93155032254,1.0,1.0,-10.0
-0.18761978,971982.6132642659,1.0,1.0,-10.0
-0.22550173,10088.879654703514,1.0,1.0,-10.0
-0.3818242,-158745.4191523584,1.0,1.0,-10.0
-0.18921426,1047.9443669411232,1.0,1.0,-10.0
-0.19974217,189597.85887458333,1.0,1.0,-10.0
-0.17420132,7910.00815718701,1.0,1.0,-10.0
-0.2550602,29037.230133665154,1.0,1.0,-10.0
-0.26214245,33559.89791273685,1.0,1.0,-10.0
-0.20340756,-185.72096389915956,1.0,1.0,-10.0
-0.17598587,-18909.355395230163,1.0,1.0,-10.0
-0.22885358,734003.473556461,1.0,1.0,-10.0
-0.31397876,20757.47778775386,1.0,1.0,-10.0
-0.2790937,-23365.053855537106,1.0,1.0,-10.0
-0.15481363,-112.29355905100937,1.0,1.0,-10.0
-0.16545737,-11202.326197932203,1.0,1.0,-10.0
-0.19011223,1028661.6386243994,1.0,1.0,-10.0
-0.07310231,39304.418462514484,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.113344215,70673.20904408515,0.9821402976060428,1.0,-2.10010728318757
-0.15237007,291174.0168148632,1.0,1.0,-10.0
-0.21641946,171824.17395067422,1.0,1.0,-10.0
-0.23575374,10738.196346727698,1.0,1.0,-10.0
-0.08327551,-438.57210588191475,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.2720582,247384.95212068202,1.0,1.0,-10.0
-0.21207942,1574.3775952440708,1.0,1.0,-10.0
-0.1528021,-8172.378780643684,1.0,1.0,-10.0
-0.23354219,-22772.2432786786,1.0,1.0,-10.0
-0.19759873,28013.67720090851,1.0,1.0,-10.0
-0.14773348,-45604.69714937899,1.0,1.0,-10.0
-0.21070316,-6422.098399756314,1.0,1.0,-10.0
-0.14223522,-1479.625739970269,1.0,1.0,-10.0
-0.11326441,-107290.6428333111,0.001228776469835138,0.002091918434549941,3.028519404532376
-0.13666695,762419.6594389705,1.0,1.0,-10.0
-0.16457674,-340249.62763450004,1.0,1.0,-10.0
-0.23120889,200978.34295941767,1.0,1.0,-10.0
-0.16627201,-158.39997393897494,1.0,1.0,-10.0
-0.25785768,43592.099228866864,1.0,1.0,-10.0
-0.18284649,874029.407257535,1.0,1.0,-10.0
-0.2310929,79718.22164107497,1.0,1.0,-10.0
-0.2495531,-9122.843391403392,1.0,1.0,-10.0
-0.1544432,-87962.689598514,1.0,1.0,-10.0
-0.14244531,-4518.931456390534,1.0,1.0,-10.0
-0.19478492,-65835.45500913715,1.0,1.0,-10.0
-0.15695703,6973.7310426301365,1.0,1.0,-10.0
-0.19489117,569316.0007023632,1.0,1.0,-10.0
-0.16276318,12748.543347767423,1.0,1.0,-10.0
-0.15507995,-315331.01390552195,1.0,1.0,-10.0
-0.4807299,53276.42846038467,1.0,1.0,-10.0
-0.13615699,-380651.37529963185,0.9999958252215068,1.0,-4.456019168182133
-0.1457149,165753.28776815798,1.0,1.0,-10.0
-0.15967065,112810.61705839957,1.0,1.0,-10.0
-0.19799638,150594.1372147884,1.0,1.0,-10.0
-0.15221879,-147923.0822630497,1.0,1.0,-10.0
-0.21072793,-1263335.4842764372,1.0,1.0,-10.0
-0.14888695,16936.339623746186,1.0,1.0,-10.0
-0.34109786,4967.4069203709005,1.0,1.0,-10.0
-0.20258158,739.9972976814032,1.0,1.0,-10.0
-0.22393095,-3497.929560749115,1.0,1.0,-10.0
-0.18019374,1001122.9091366744,1.0,1.0,-10.0
-0.1648636,249002.6511168752,1.0,1.0,-10.0
-0.19220495,367457.6661357667,1.0,1.0,-10.0
-0.17359522,-344414.05843674985,1.0,1.0,-10.0
-0.14764994,54272.88762536667,1.0,1.0,-10.0
-0.13373815,-764.1769950677892,0.4751774628757823,0.74669259746892,0.06226107526073494
-0.2491374,381895.71244139515,1.0,1.0,-10.0
-0.15695292,-20374.665975797525,1.0,1.0,-10.0
-0.11488546,3385.931566078752,0.017884751064916413,0.029619686829336103,2.0995379949835593
-0.2559395,-474506.28202965856,1.0,1.0,-10.0
-0.1846478,-84028.63195710507,1.0,1.0,-10.0
-0.13685383,14.078623886869376,1.0,1.0,-10.0
-0.3003994,716262.9416143806,1.0,1.0,-10.0
-0.21264142,5469.277485756731,1.0,1.0,-10.0
-0.17677873,484082.717644602,1.0,1.0,-10.0
-0.22771356,-534256.5329793728,1.0,1.0,-10.0
-0.19827303,-5904.171163689789,1.0,1.0,-10.0
-0.16208312,294960.3205439039,1.0,1.0,-10.0
-0.341945,230497.5230688075,1.0,1.0,-10.0
-0.1309793,78708.59960842322,1.0,1.0,-10.0
-0.16346346,-144816.6959751741,1.0,1.0,-10.0
-0.21950443,-293025.15879951796,1.0,1.0,-10.0
-0.12151605,28381.43696427631,0.9661383716415647,1.0,-1.8268438098836715
-0.2708234,-475.8472392507132,1.0,1.0,-10.0
-0.13881138,219671.66525293502,1.0,1.0,-10.0
-0.26817122,-193.86194757654167,1.0,1.0,-10.0
-0.28142983,10.618627224827689,1.0,1.0,-10.0
-0.1911244,99964.39143272678,1.0,1.0,-10.0
-0.22195494,139382.65075553226,1.0,1.0,-10.0
-0.0942517,34882.4952788858,2.2265485297125942e-05,3.930232801403759e-05,4.0826191352547685
-0.09877925,-2904.6519727273944,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.12900011,200893.83286764243,0.07604776503233365,0.12352604871662515,1.4321687595000145
-0.19185519,172544.884624036,1.0,1.0,-10.0
-0.23477535,583.4031015892917,1.0,1.0,-10.0
-0.21687888,-243080.6490479552,1.0,1.0,-10.0
-0.16326384,578.3622199539052,1.0,1.0,-10.0
-0.18189734,32.43488702331591,1.0,1.0,-10.0
-0.19615577,17038.6722761031,1.0,1.0,-10.0
-0.15157932,585.2240484816706,1.0,1.0,-10.0
-0.18928555,1073141.7771237562,1.0,1.0,-10.0
-0.25272226,-15416.614641998436,1.0,1.0,-10.0
-0.200869,320696.1403602803,1.0,1.0,-10.0
-0.14397791,-144245.7159772722,1.0,1.0,-10.0
-0.17346479,1432.5073256217663,1.0,1.0,-10.0
-0.092997655,-587.3571355576938,1.3915928310703714e-06,2.532924540038422e-06,4.686204214166997
-0.12729305,22511.626768145845,0.9997383805477588,1.0,-3.4685686086501955
-0.13479085,-54761.45857705161,1.0,1.0,-10.0
-0.10826864,2451.854474172396,0.01064011878636406,0.017715452641059344,2.302975216253097
-0.12559943,-20755.13140468047,0.998536044341714,1.0,-2.975206759306406
-0.34827226,-256926.5277432154,1.0,1.0,-10.0
-0.10203588,-28881.314594666816,2.92234494524778e-05,5.135722860491697e-05,4.0189950490021475
-0.2083475,82298.9255950298,1.0,1.0,-10.0
-0.13909362,-713625.2338179223,1.0,1.0,-10.0
-0.2195625,116142.01113604855,1.0,1.0,-10.0
-0.1621702,266.19188013877624,1.0,1.0,-10.0
-0.19860333,99234.52600638384,1.0,1.0,-10.0
-0.30767977,-213159.21031078766,1.0,1.0,-10.0
-0.10775847,-24039.360991248406,8.071238420208155e-05,0.0001407423423625717,3.772801417848643
-0.12535718,-27407.049559405892,0.9545505781372416,1.0,-1.6906752505601559
-0.19878238,442.8227298079318,1.0,1.0,-10.0
-0.17238939,-66890.60145795821,1.0,1.0,-10.0
-0.1691747,-20393.835615907683,1.0,1.0,-10.0
-0.17929551,-30887.182333470315,1.0,1.0,-10.0
-0.20185335,-110717.29535504275,1.0,1.0,-10.0
-0.35124215,-4280.1505899896165,1.0,1.0,-10.0
-0.20480108,-4260.505618193925,1.0,1.0,-10.0
-0.32683915,25.094724136923727,1.0,1.0,-10.0
-0.13756084,301496.196266031,1.0,1.0,-10.0
-0.22522585,3231.7430112483457,1.0,1.0,-10.0
-0.13077475,48555.57735990145,1.0,1.0,-10.0
-0.20146975,33173.5291772673,1.0,1.0,-10.0
-0.11115337,-2370.142850751023,0.003023931221915917,0.005104526605752356,2.7451750721409125
-0.1379877,-39923.324521456016,1.0,1.0,-10.0
